name,tier,url,image_url,dimensions,handle_drop,ideal_for,colour,made_of,features,design_notes
CHANEL LAMBSKIN CHEVRON MEDALLION CHARM FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-lambskin-chevron-medallion-charm-flap-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/672ef0a506faae4e8317d82a_Chanel%20Chevron%20Medallion%20Charm%20Blue%20%5B1%5D.webp,"MEDIUM (12"" x 7"" x 3"")","10"" - 18""","WALLET, PHONE, POUCH, AND KEYS",Blue with gold hardware,Lambskin leather,"Flap bag, chevron quilting, medallion charm, chain strap, CC clasp","The Chevron Medallion Charm Flap pairs deep blue lambskin with crisp chevron quilting for a look that feels both elegant and expressive. A gold medallion charm draws the eye, adding a touch of collectible whimsy to its classic silhouette. The craftsmanship is refined, with precise stitching and polished hardware that elevate the design without overwhelming it. This bag is a beautiful choice for someone who loves timeless Chanel structure with a playful twist. Style it with clean neutrals or soft knits to let the charm detail shine."
GOYARD SAINT LOUIS GM,CLASSIC,https://zerocollective.ca/bag/goyard-saint-louis-gm,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/672f1aa19ab7d55f18c5e8a5_Goyard%20Saint%20Louis%20GM%20Blue%20%5B1%5D.webp,"LARGE (20"" x 12"" x 7"")","9""","LAPTOP, PHONE, SUNGLASSES, BOOK, AND KEYS",Navy blue Goyardine canvas with navy leather trim,Goyardine coated canvas with leather,"GM (Grand Modèle) tote, open top, double handles, includes detachable pouch, unlined",
CELINE SMOOTH CALFSKIN MEDIUM AVA TRIOMPHE BAG,CLASSIC,https://zerocollective.ca/bag/celine-smooth-calfskin-medium-ava-triomphe-bag-2,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/6727282341f0c324a91537ab_Celine%20Triomphe%20Ava%20Black%20%5B1%5D.webp,"SMALL (10"" x 5"" x 3"" )","9""","WALLET, PHONE, AND KEYS",Black with gold hardware,"Smooth calfskin leather, metal","Medium crescent hobo, top zip, adjustable shoulder strap, gold Triomphe clasp","The Smooth Calfskin Medium Ava Triomphe Bag offers a sculptural, gently curved silhouette that sits elegantly under the arm. The clean lines and soft leather highlight the bag’s balanced mix of modernity and heritage. The gold Triomphe clasp traces its inspiration to the chains surrounding the Arc de Triomphe, adding depth to the minimalist shape. It’s perfect for someone who loves refined design with meaningful details. Pair it with contemporary layers or crisp tailoring for elevated ease."
LOEWE PALM LEAF AND CALFSKIN BASKET BAG,CLASSIC,https://zerocollective.ca/bag/loewe-palm-leaf-and-calfskin-basket-bag-2,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67dd7dddb68bc5b97b21be4a_Loewe%20Raffia%20Tote%20White%20%5B1%5D.webp,"LARGE (15"" x 10.5"" x 6.5"")","6""","BOOK, PHONE, WALLET, SUNGLASSES, AND KEYS",Natural straw with white calfskin straps and patch,"Palm leaf, calfskin leather","Hand-woven basket shape, flat leather straps, embossed logo patch",
CHANEL PATENT CHOCOLATE BAR CHAIN CLUTCH,CLASSIC,https://zerocollective.ca/bag/chanel-patent-leather-chocolate-bar-chain-clutch,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/672ee186fbdc1589fa173e4f_Chanel%20Patent%20Leather%20Chocolate%20Clutch%20Black%20%5B1%5D.webp,"X-SMALL (11"" x 6.5"" x 2"")","12""","CARDHOLDER, PHONE, AND KEYS",Black with silver-tone hardware,Patent leather,"Chain clutch, glossy “chocolate bar” quilted squares, CC clasp, metal logo plates","The Patent Chocolate Bar Chain Clutch offers a playful, graphic take on the house’s quilting language. Glossy squares reference the iconic “chocolate bar” motif, creating dimensional texture. Silver-tone hardware and dual logo plaques add pop-art flair and polished balance. Compact yet striking, it’s a fun twist on evening elegance. Carry it by the chain or tuck it under the arm for chic versatility."
CHANEL LAMBSKIN QUILTED CLASSIC DOUBLE FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-lambskin-quilted-classic-double-flap-bag-2,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/677eb74c8af75e814011f211_Chanel%20Vintage%20Lambskin%20Double%20Flap%20Black%20%5B1%5D.webp,"MEDIUM (10"" x 6.5"" x 2.5"")","9"" - 16""","WALLET, PHONE, SUNGLASSES, AND KEYS","Black, silver hardware",Lambskin leather,"Medium double flap with diamond quilting, chain strap, CC clasp","The Classic Double Flap in black lambskin remains one of Chanel’s most enduring symbols of luxury. Silver hardware introduces a modern, crisp contrast to the soft quilting and smooth finish. Practical yet iconic, its medium size and elegant proportions make it endlessly wearable. Perfect for someone who wants a foundational piece that transitions seamlessly from day to night. Style it with anything—it never misses."
CHANEL CAVIAR URBAN COMPANION WALLET ON CHAIN,CLASSIC,https://zerocollective.ca/bag/chanel-caviar-urban-companion-wallet-on-chain,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/672e4b60ee1ac779ed7c7b0a_Chanel%20Urban%20Companion%20Wallet%20Pink%20%5B1%5D.webp,"X-SMALL (7.5"" x 5"" x 2"")","24""","CARDHOLDER, PHONE, AND KEYS",Pink with silver hardware,Caviar leather,"Wallet on chain, compact structure, diamond quilted, CC logo, chain strap",
CHANEL TWEED FILIGREE VANITY CASE,DELUXE,https://zerocollective.ca/bag/chanel-tweed-filigree-vanity-case,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67e168c7ea8b21176dbb9f26_Chanel%20Vanity%20Pink%20%5B1%5D.webp,"SMALL (8"" x 6.5"" x 3.5"")","18""","CARDHOLDER, PHONE, AND KEYS","The Tweed Filigree Vanity Case offers couture-level detail in a structured, mini-trunk format. Bright pink, fuchsia, and white tweed contrast beautifully with the soft pink leather trim, while gold accents highlight the filigree CC motif. Its boxy shape and zip-around closure evoke vintage travel trunks, reimagined with playful colour and signature Chanel refinement. A joyful yet polished statement piece.",Tweed with leather trim,"Boxy vanity shape, filigree CC logo, top handle, chain strap, zip-around closure",
CELINE SHINY CALFSKIN CLAUDE TRIOMPHE SHOULDER BAG,CLASSIC,https://zerocollective.ca/bag/celine-claude-shoulder-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/672ee9315acb5e5a279f0f20_Celine%20Claude%20Shoulder%20Black%20%5B1%5D.webp,"X-SMALL (8"" x 4.5"" x 1.5"")","8""","CARDHOLDER, PHONE, AND KEYS",Black with gold hardware,"Shiny calfskin leather, metal","Rectangular flap shoulder bag, push-lock Triomphe clasp, adjustable strap","The Shiny Calfskin Claude Triomphe Bag delivers sculptural elegance through its polished leather and glowing gold clasp. The structured flap silhouette lends a refined, confident presence that shifts seamlessly from day to night. The Triomphe emblem connects the design to Celine’s historic identity, offering subtle storytelling through iconic hardware. It’s perfect for someone who values clean lines with meaning behind the details. Wear it with evening tailoring or minimalist ensembles."
CHANEL CHOCOLATE BAR TOTE BAG,DELUXE,https://zerocollective.ca/bag/chanel-chocolate-bar-tote-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/679917de629672ead8f90405_Chanel%20Chocolate%20Bar%20Tote%20Black%20%5B1%5D.webp,"LARGE (15"" x 10"" x 5"")","8""","LAPTOP, NOTEBOOK, WALLET, SUNGLASSES, PHONE, AND KEYS",Black with gold hardware,Lambskin leather,"Large tote, grid quilt pattern, long chain/leather handles, CC plaque",
CHANEL DEAUVILLE SMALL SHOPPING TOTE,DELUXE,https://zerocollective.ca/bag/chanel-deauville-small-shopping-tote,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/6702d730a9ba3ae4bc7d3a2a_Chanel%20Deauville%20Shopping%20Tote%20Bag%20%5B1%5D.webp,"LARGE (13.5"" x 10"" x 6"")","12""","LAPTOP, PHONE, WALLET, SUNGLASSES, AND KEYS",Black with silver hardware,"Canvas, leather","Small tote, canvas body, double chain/leather handles, ""Chanel 31 Rue Cambon"" embroidery, open top","The Small Deauville Tote brings relaxed luxury to your everyday wardrobe with its canvas body and iconic “31 Rue Cambon” embroidery. Lightweight and practical, it’s designed for weekend outings, travel, and busy city days. Silver hardware and tonal detailing keep the look crisp and modern. Perfect for women who want effortless style with Parisian roots. Pair it with denim, sneakers, or soft layers."
CHANEL LAMBSKIN CC WILD STITCH WALLET ON CHAIN,CLASSIC,https://zerocollective.ca/bag/chanel-lambskin-cc-wild-stitch-wallet-on-chain,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67044c2726a1d3aaab34a373_Chanel%20Red%20Lambskin%20Quilted%20Wallet%20%5B1%5D.webp,"X-SMALL (7.5"" x 5"" x 2"")","24""","CARDHOLDER, PHONE, AND KEYS",Red with white contrast wild stitch and silver hardware,Lambskin leather,"WOC, wild contrast topstitching, CC clasp, chain strap","The Wild Stitch Wallet on Chain blends bright red lambskin with bold white cross-stitching for an energetic and expressive look. Its contrast detailing sets it apart while staying true to Chanel’s quilting heritage. Compact, functional, and statement-driven, it suits anyone who wants a mix of tradition and edgy charm. A lively choice for daytime or weekend wear. Pair it with simple silhouettes for balance."
CHANEL LAMBSKIN QUILTED DIAMOND CC WALLET ON CHAIN,CLASSIC,https://zerocollective.ca/bag/chanel-lambskin-quilted-diamond-cc-wallet-on-chain-1,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1749675017197x172696812811634850/Chanel%20Lambskin%20Quilted%20Diamond%20CC%20Wallet%20on%20Chain%20BOTCH253-1589-0%20%5B1%5D.jpg","X-SMALL (7.5"" x 5"" x 2"")","24""","CARDHOLDER, PHONE, AND KEYS","Timeless and polished, the Navy Diamond CC WOC combines sleek quilting with a quietly elegant colour palette. Lambskin leather forms a streamlined silhouette, finished with a silver-tone CC and a leather-woven chain strap. Chanel’s Wallet on Chain design reflects the house’s heritage of compact luxury and multifunctional wear. A versatile choice for women who value subtle refinement with iconic detail. Wear it seamlessly from day to evening with minimal styling.",Lambskin leather,"Classic Wallet on Chain, diamond quilting, CC logo, leather-woven chain strap, flap with snap closure",
BOTTEGA VENETA PADDED CASSETTE,DELUXE,https://zerocollective.ca/bag/bottega-veneta-padded-cassette,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/672d637b2a48371a176f6bbe_Bottega%20Padded%20Cassette%20Blue%20%5B1%5D.webp,"MEDIUM (10"" x 7"" x 3"")","18""","WALLET, PHONE, SUNGLASSES, AND KEYS",Light blue,Lambskin leather,"Boxy flap bag, oversized padded weave, adjustable strap, triangular buckle","The Padded Cassette brings bold structure and pillowed texture together for a sculptural, modern look. Oversized padded panels are individually stitched and reinforced, creating a dimensional grid that feels both architectural and soft. Inspired by Bottega’s woven heritage, the design translates a classic technique into something graphic and current. It’s perfect for someone who loves minimal silhouettes with standout form. Style it with clean lines to let the structure lead."
CHANEL CAVIAR THREAD AROUND SMALL TOP HANDLE BAG,DELUXE,https://zerocollective.ca/bag/chanel-caviar-thread-around-small-top-handle-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/672ef32a3aa29a0544cbcb04_Chanel%20Thread%20Small%20Top%20Handle%20Black%20%5B1%5D.webp,"SMALL (8"" x 6"" x 2.5"")","4"" - 22""","CARDHOLDER, PHONE, AND KEYS","The Small Thread Around Top Handle Bag brings playful colour and intricate stitching to Chanel’s top-handle tradition. Purple caviar leather adds vibrant personality, while the decorative thread-around edging highlights craftsmanship and attention to detail. Compact yet impactful, it blends vintage inspiration with a fresh, modern feel. Perfect for fashion-forward collectors seeking something distinctive. Pair it with monochrome outfits to let the colour pop.",Caviar leather,"Small top handle, decorative stitch (""thread around"") detail, chain strap, CC clasp",
CHANEL LAMBSKIN CHEVRON LARGE BOY BAG,DELUXE,https://zerocollective.ca/bag/chanel-lambskin-chevron-large-boy-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/6727ac9dcbd18cecf002fd52_Chanel%20Chevron%20Boy%20Black%20%5B1%5D.webp,"MEDIUM (11"" x 7"" x 3"")","12"" - 20""","WALLET, PHONE, SUNGLASSES, AND KEYS",Black with ruthenium hardware,Lambskin leather,"Large Boy silhouette, chevron quilting, thick chain, Boy clasp","The Chevron Large Boy Bag delivers bold presence with deep black lambskin and signature ruthenium hardware. Graphic chevron quilting introduces structure and movement, while the oversized silhouette adds drama. A modern favourite, it balances masculine lines with luxurious materials—appealing to style enthusiasts of all genders. Pair it with streetwear or sharp tailoring for impact."
CHANEL CAVIAR QUILTED SMALL FILIGREE VANITY CASE,DELUXE,https://zerocollective.ca/bag/chanel-caviar-quilted-small-filigree-vanity-case-1,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1749675304912x207512689467573400/Chanel%20Caviar%20Quilted%20Small%20Filigree%20Vanity%20Case%20BOTCH253-2679-0%20%5B1%5D.jpg","X-SMALL (6.5"" x 5"" x 2"")","21""","CARDHOLDER, PHONE, AND KEYS","Bright and joyful, this lemon-yellow Filigree Vanity Case brings a burst of colour to a compact, structured silhouette. Durable caviar leather is quilted and shaped into a boxy frame with a top handle and signature CC hardware. The Filigree line nods to Chanel’s heritage of ornate motifs, reinterpreted here with modern crispness. A perfect pick for women who appreciate playful luxury with lasting durability. Style it with soft neutrals or summer brights for a fresh, uplifting look.",Caviar leather,"Small boxy vanity case, quilted caviar, top handle, large CC logo, chain strap",
CHANEL CAVIAR QUILTED SMALL FILIGREE VANITY CASE,DELUXE,https://zerocollective.ca/bag/chanel-caviar-quilted-leather-small-cc-filigree-vanity-chain-clutch,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/6727dc33cb3ef1db5d5836b4_Chanel%20Filigree%20Vanity%20Burgundy%20%5B1%5D.webp,"X-SMALL (6.5"" x 5"" x 2"")","21""","CARDHOLDER, PHONE, AND KEYS",Burgundy with gold hardware,Caviar leather,"Small vanity, box silhouette, quilted, CC motif, chain strap",
CELINE SMOOTH CALFSKIN MEDIUM AVA TRIOMPHE BAG,CLASSIC,https://zerocollective.ca/bag/celine-smooth-calfskin-medium-ava-triomphe-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67272847f881d1a5e6f17300_Celine%20Triomphe%20Ava%20Tan%20%5B1%5D.webp,"SMALL (10"" x 5"" x 3"" )","9""","WALLET, PHONE, AND KEYS",Brown with gold hardware,"Smooth calfskin leather, metal","Medium crescent hobo, top zip, adjustable shoulder strap, gold Triomphe clasp","The Smooth Calfskin Medium Ava Triomphe Bag offers a sculptural, gently curved silhouette that sits elegantly under the arm. The clean lines and soft leather highlight the bag’s balanced mix of modernity and heritage. The gold Triomphe clasp traces its inspiration to the chains surrounding the Arc de Triomphe, adding depth to the minimalist shape. It’s perfect for someone who loves refined design with meaningful details. Pair it with contemporary layers or crisp tailoring for elevated ease."
CELINE SMOOTH CALFSKIN FOLCO CUIR TRIOMPHE BAG,CLASSIC,https://zerocollective.ca/bag/celine-folco-cuir-triomphe-2,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/672f26e65acb5e5a27c03356_Celine%20Brown%20Folco%20Cuir%20Triomphe%20Bag%20%5B1%5D.webp,"X-SMALL (7"" x 6"" x 3"")","21""","CARDHOLDER, PHONE, AND KEYS",Chestnut brown,Smooth calfskin leather,"Saddle bag, flap front, adjustable strap, debossed Triomphe logo",
BOTTEGA VENETA INTRECCIATO BABY SARDINES BAG,DELUXE,https://zerocollective.ca/bag/bottega-veneta-intrecciato-baby-sardines-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1749678183547x938277832452108500/Bottega%20Veneta%20Intrecciato%20Baby%20Sardines%20Bag%20BBABV255-1775-0%20%5B1%5D.jpg","SMALL (8"" x 5"" x 1"")","2"" - 24""","CARDHOLDER, PHONE, AND KEYS",Mocha brown with gold-tone hardware,Lambskin leather with metal accent,"Mini size, rounded silhouette, Intrecciato weave, curved gold ""sardine"" top handle, crossbody strap","Sculptural and expressive, the Baby Sardine pairs mocha Intrecciato weaving with a curved gold handle inspired by its namesake. The rounded silhouette and hand-finished lambskin embody Bottega Veneta’s signature blend of craft and playful artistry. The Sardine line highlights sculptural hardware and experimental forms within the house’s heritage of weaving. A standout piece for collectors who enjoy whimsical touches grounded in luxury. Wear it with warm neutrals or sleek tailoring for textural contrast."
YSL LAMBSKIN BECKY CHAIN WALLET,CLASSIC,https://zerocollective.ca/bag/ysl-lambskin-becky-chain-wallet,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1749674452308x176487879298989700/YSL%20Lambskin%20Becky%20Chain%20Wallet%20BBASL255-1217-0%20%5B1%5D.jpg","SMALL (9"" x 5.5"" x 2"")","13"" - 23""","WALLET, PHONE, AND KEYS",Navy blue with gold hardware,Lambskin leather,"Diamond-quilted chain wallet, YSL logo, card slots, chain strap","Refined and plush, the Becky Chain Wallet in navy lambskin features diamond quilting that feels timeless yet modern. Sleek edges and a modular interior bring crisp functionality without losing softness, while the gold YSL monogram adds a luminous signature touch. The quilted motif echoes Saint Laurent’s long design lineage rooted in couture-grade texture. A beautiful piece for women who favour compact luxury that still carries presence. Pair it with tailored layers or evening looks for understated polish."
CHANEL VINTAGE LAMBSKIN QUILTED CLASSIC DOUBLE FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-vintage-lambskin-quilted-classic-double-flap-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1757608689472x238791985567379230/Chanel%20Vintage%20Lambskin%20Quilted%20Classic%20Double%20Flap%20Bag%20BBACH255-2857-0%201.jpg","MEDIUM (10"" x 6.5"" x 2.5"")","9"" - 16""","WALLET, PHONE, SUNGLASSES, AND KEYS",White with gold-tone hardware,Lambskin leather,"Classic double-flap, leather-woven chain strap, CC turn-lock, dual interior compartments","Clean and classic, this vintage Double Flap in white lambskin highlights Chanel’s most enduring silhouette. Diamond quilting, dual flaps, and a gold CC turn-lock preserve the timeless lines that collectors cherish. The Classic Flap traces its heritage back to Coco Chanel’s 1955 design revolution, prized for both beauty and practicality. A beloved option for women who appreciate icons with lasting elegance. Pair it with neutrals for gentle sophistication or contrast it against darker tones."
CELINE STRIPED TEXTILE AND CALFSKIN SMALL CABAS THAIS BAG,CLASSIC,https://zerocollective.ca/bag/celine-striped-textile-and-calfskin-small-cabas-thais,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/672eee3c56634480ac48fc1d_Celine%20Striped%20Cabas%20Thais%20White%26Blue%20%5B1%5D.webp,"SMALL (10"" x 7"" x 5"")","4"" - 16""","WALLET, PHONE, SUNGLASSES, AND KEYS",White/blue striped textile with tan leather,"Textile, calfskin leather","Small tote, double handles, Triomphe logo patch","The Cabas Thais brings a breezy, sun-washed feel to Celine’s refined minimalism with its striped textile and tan leather accents. The giant Triomphe patch ties the easygoing silhouette back to the house’s Parisian identity. Lightweight and practical, it balances weekend energy with polished craftsmanship. It’s perfect for warm-weather styling or relaxed city days. Pair it with linen layers or denim for effortless charm."
CHANEL CALFSKIN QUILTED LABEL CLICK SMALL FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-calfskin-quilted-label-click-small-flap-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1756132858404x303162223658641100/Chanel%20Lambskin%20Quilted%20Logo%20Flap%20Bag%20BBACH255-2363-0%20%5B1%5D.jpg","SMALL (8"" x 6"" x 3"")","2"" - 24""","CARDHOLDER, PHONE, AND KEYS",Black with gold-tone hardware,Calfskin leather,"Small classic flap, quilted body, top handle, “CHANEL” bar, dual chain/ leather straps",
CHANEL CAVIAR QUILTED CLASSIC WALLET ON CHAIN,DELUXE,https://zerocollective.ca/bag/chanel-caviar-quilted-classic-wallet-on-chain-1,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1749056748435x225432316830848960/Chanel%20Quilted%20WOC%20Red%20%5B1%5D.jpg","X-SMALL (7.5"" x 5"" x 2"")","24""","CARDHOLDER, PHONE, AND KEYS",Red with silver-tone hardware,Caviar grained calfskin leather,"Classic wallet-on-chain, snap closure, leather-woven chain, quilted detail, card slots and zip pocket","The Classic Wallet on Chain blends Chanel’s iconic quilting with a slim, functional design made for modern life. Red caviar leather brings both durability and vibrancy, while the multi-compartment interior keeps essentials organized. Silver hardware adds a crisp finish to the compact silhouette. Perfect for day-to-night ease with unmistakable Chanel character. Wear it crossbody or tuck the chain for clutch styling."
CHANEL TWEED BRAIDED MINI FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-tweed-braided-mini-flap-bag-2,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1759847220198x245321925874493200/Chanel%20Tweed%20Braided%20Mini%20Flap%20Bag%20BSBCH257-3760-0%201.jpg","SMALL (8"" x 5.5"" x 3"")","22""","CARDHOLDER, PHONE, AND KEYS","Airy and artisanal, this mint tweed Mini Flap showcases a soft multicolour palette with hand-braided trim along the edges. Each tweed pattern is unique, woven with subtle variations in colour and texture that reflect Chanel’s textile craft legacy. The silver hardware and CC closure add a refined counterpoint to the bag’s playful hues. A lovely choice for collectors who appreciate one-of-a-kind details and feminine artistry. Style it with soft knits or pastel tones for a charming finish.",Tweed and leather,"Mini size, braided trim, chain strap, CC turn-lock, tweed and leather construction",
CHANEL TWEED MINI FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-tweed-mini-flap-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1757608731909x234569738457550460/Chanel%20Tweed%20Mini%20Flap%20Bag%20BSBCH257-2494-0%201.jpg","SMALL (8"" x 5.5"" x 3"")","22""","CARDHOLDER, PHONE, AND KEYS","Whimsical and vibrant, this cream-and-lilac tweed Mini Flap features playful multicolour charms that bring character and delight. Soft woven texture meets classic CC hardware and a chain strap, creating a charming balance between heritage and novelty. Tweed has been central to Chanel’s house identity since the 1950s, continually reimagined through fresh patterns and embellishments. A wonderful choice for collectors who enjoy statement minis with personality. Style it with pastel layers or mixed textures for creative polish.",Tweed and leather,"Mini silhouette, flap closure, chain strap, CC turn-lock, novelty charm detail",
DIOR RAFFIA MEDIUM LADY D-JOY BAG,DELUXE,https://zerocollective.ca/bag/dior-raffia-medium-lady-d-joy-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1756942264880x663789612866843300/Dior%20Raffia%20Medium%20Lady%20D-Joy%20Bag%20BSBDI257-2698-0%201%20%281%29.jpg","SMALL (10.5"" x 5.5"" x 2"")","2.5"" - 22.5""","WALLET, PHONE, AND KEYS",Natural raffia with gold-tone hardware,Raffia and fabric,"East-west silhouette, structured top handles, embroidered “CHRISTIAN DIOR” logo, detachable shoulder strap, ""D.I.O.R."" charm set","Light and summery, the Medium Lady D-Joy in natural raffia brings a breezy elegance to an elongated east-west silhouette. Textured weaving and embroidered branding highlight its artisanal construction, anchored by polished gold hardware and the signature “D.I.O.R.” charms. The Lady D-Joy reinterprets the iconic Lady Dior—introduced in 1995 and linked forever to Princess Diana—through a modern, slim profile. A beautiful choice for women who appreciate craftsmanship with a relaxed, warm-weather spirit. Style it with linen layers or soft neutrals for effortless sophistication."
CHANEL LAMBSKIN QUILTED TRICOLOUR SINGLE FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-lambskin-quilted-tricolour-single-flap-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1757608822914x930773522460011300/Chanel%20Lambskin%20Quilted%20Tri-colour%20Flap%20Bag%20BSBCH257-1931-0%201.jpg","SMALL (7.5"" x 5"" x 2"")","13""","CARDHOLDER, PHONE, AND KEYS","Soft and dimensional, the Tricolour Single Flap blends sky, denim, and navy tones for a layered blue gradient that feels both calming and contemporary. Supple lambskin quilting keeps the silhouette structured, while the gold CC closure adds a luminous focal point. Chanel’s tonal explorations reflect the maison’s long history of colour play across classic shapes. A beautiful choice for women who appreciate subtle contrast within timeless design language. Pair it with denim, navy tailoring, or crisp whites for refined harmony.",Lambskin leather,Front flap with CC turn-lock closure; leather-woven chain strap; back slip pocket; interior zip pocket,
CELINE TEXTILE AND CALFSKIN CLASSIQUE MEDIUM TRIOMPHE SHOULDER BAG,DELUXE,https://zerocollective.ca/bag/celine-textile-and-calfskin-classique-medium-triomphe-shoulder-bag-1,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1755806087437x798930949854411000/Celine%20Textile%20and%20Calfskin%20Classique%20Medium%20Triomphe%20Shoulder%20Bag%20BSBCE257-1656-0%201.jpg","SMALL (9"" x 6"" x 2"")","18"" - 20""","WALLET, PHONE, AND KEYS",Brown leather trim with tan/black textile body; gold-tone Triomphe clasp,Woven textile body with smooth calfskin trim,Structured rectangular flap with Triomphe push-lock; adjustable shoulder strap; interior slip/zip pockets,"Warm and textural, the Classique Medium Triomphe Shoulder Bag pairs a woven textile body with smooth calfskin framing. The gold Triomphe clasp, revived from the ironwork surrounding the Arc de Triomphe, brings sculptural elegance to the structured design. Celine’s heritage of clean-lined minimalism is reflected in its precise edges and understated detailing. A perfect choice for women who appreciate tactile craftsmanship and refined everyday silhouettes. Style it with earthy tones or crisp black for balanced sophistication."
CHANEL CAVIAR QUILTED MINI COCO TOP HANDLE,DELUXE,https://zerocollective.ca/bag/chanel-caviar-quilted-mini-coco-top-handle,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1757608853912x522192791172668000/Chanel%20Caviar%20Quilted%20Mini%20Coco%20Top%20Handle%20BSBCH258-5402-0%201-2.jpg","SMALL (9"" x 5.5"" x 4"")","3"" - 18""","WALLET, PHONE, AND KEYS",Dark plum with gold-tone hardware,Chanel caviar (grained calfskin),Top handle and leather-woven chain strap for dual carry options; flap closure with CC turn-lock; back slip pocket; interior compartments,"Elegant and compact, the Dark Plum Mini Coco Top Handle blends structure with feminine charm. The caviar leather’s grain adds durability and texture, while the domed top handle and gold hardware bring refined presence. Chanel’s top-handle minis have become modern-day favourites, echoing archival silhouettes with a youthful twist. A lovely option for women who prefer chic proportions with timeless flair. Pair it with deep jewel tones or soft neutrals for polished balance."
CELINE SMOOTH CALFSKIN SMALL CUIR TRIOMPHE BUCKET BAG,CLASSIC,https://zerocollective.ca/bag/celine-smooth-calfskin-small-cuir-triomphe-bucket-bag-1,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1763761694245x197076146028178920/Celine%20Smooth%20Calfskin%20Small%20Cuir%20Triomphe%20Bucket%20Bag%20BSBCE258-1017-0%201.jpg","SMALL (6.5"" x 9"" x 4"")","21""","WALLET, PHONE, SUNGLASSES, AND KEYS",,,,
